country,continent,pop 1970,pop1980,pop 1990,pop2000,pop2010,pop2023,pop2024
Dominican Republic,North America,4475871,5755800,7129004,8540791,9775755,11332972,11434005
DR Congo,Africa,20151733,26708686,35987541,48616317,66391257,102262808,105625114
Ecuador,South America,6172215,8135845,10449837,12626507,14989585,18190484,18377367
Egypt,Africa,34781986,43748556,57214630,71371371,87252413,112716598,114484252
El Salvador,North America,3619090,4508992,5367179,5958482,6114034,6364943,6396289
Equatorial Guinea,Africa,316955,282509,465549,684977,1094524,1714671,1754993
Eritrea,Africa,1272748,1657982,2149960,2392880,3147727,3748901,3817651
Estonia,Europe,1361999,1476983,1570674,1396877,1331535,1322765,1319041
Eswatini,Africa,442865,598564,854011,1030496,1099920,1210822,1222075
Ethiopia,Africa,28308246,34945469,47878073,67031867,89237791,126527060,129719719
Falkland Islands,South America,2274,2240,2332,3080,3187,3791,3803
Faroe Islands,Europe,38416,43054,47479,45660,48410,53270,53444
Fiji,Oceania,527634,644582,780430,832509,905169,936375,943072
Finland,Europe,4606621,4779418,4986545,5176209,5363271,5545475,5549886
France,Europe,50523586,53713830,56412897,58665453,62444567,64756584,64881830
French Guiana,South America,46484,66825,113931,164351,228453,312155,319796
French Polynesia,Oceania,117891,163591,211089,250927,283788,308872,311383
Gabon,Africa,597192,749078,983028,1272935,1711105,2436566,2484557
Gambia,Africa,528731,718586,1040616,1437539,1937275,2773168,2841803
Georgia,Asia,4800426,5145843,5391636,4265172,3836831,3728282,3717425
Germany,Europe,78294583,77786703,79370196,81551677,81325090,83294633,83252474
Ghana,Africa,8861895,11865246,15446982,19665502,25574719,34121985,34777522
Gibraltar,Europe,26685,28734,27317,27741,31262,32688,32718
Greece,Europe,8544873,9307148,10302255,11038109,11033783,10341277,10302720
Greenland,North America,45434,50106,55599,56184,56351,56643,56789
Grenada,North America,98794,94838,99047,107432,114039,126183,126887
Guadeloupe,North America,318310,334234,391951,424067,403072,395839,396346
Guam,Oceania,88300,110286,138263,160188,164905,172952,174114
Guatemala,North America,5453208,6987767,9084780,11735894,14543121,18092026,18358430
Guernsey,Europe,52656,52860,57727,59114,60782,63544,63788
Guinea,Africa,4222374,4972609,6354145,8336967,10270728,14190612,14528770
Guinea-Bissau,Africa,591663,831462,973551,1230849,1567220,2150842,2197149
Guyana,South America,705261,778176,747116,759051,747932,813834,819594
Haiti,North America,4680812,5646676,6925331,8360225,9842880,11724763,11867030
Honduras,North America,2782753,3777990,5053234,6656725,8450933,10593798,10759406
Hong Kong,Asia,3955072,4978544,5838574,6731195,7132438,7491609,7496681
Hungary,Europe,10315366,10698679,10375989,10202055,9986825,10156239,9994993
Iceland,Europe,204468,228263,255019,281462,318333,375318,377689
India,Asia,557501301,696828385,870452165,1059633675,1240613620,1428627663,1441719852
Indonesia,Asia,115228394,148177096,182159874,214072421,244016173,277534122,279798049
Iran,Asia,28449705,38520664,55793629,65544383,75373855,89172767,89809781
Iraq,Asia,9811347,13653369,17658381,24628858,31264875,45504560,46523657
Ireland,Europe,2937637,3391387,3485374,3768950,4524585,5056935,5089478
Isle of Man,Europe,55298,64022,68865,75562,83828,84710,84904
Israel,Asia,2907307,3744608,4803254,6116958,7328445,9174520,9311652
Italy,Europe,53324036,56329482,56756561,56966397,59822450,58870762,58697744
Ivory Coast,Africa,5477086,8303810,11910540,16799670,21120042,28873034,29603302
Jamaica,North America,1859091,2135546,2392030,2612205,2733896,2825544,2824738
Japan,Asia,105416839,117624196,123686321,126803861,128105431,123294513,122631432
